"date","spread","selic","pib_mensal","inad","prod_ind","igp"
2011-03-01,3.26652247833555,2.45272775142377,12.7601959487779,1.48387468945875,-0.666032350142709,7.57210567420323
2011-04-01,3.29620716780452,2.46300181439995,12.763557593409,1.51512723296286,-1.81268882175226,6.11197908235774
2011-05-01,3.28989331210348,2.4782176616372,12.8115114790005,1.55180879959746,2.68456375838926,0.0814202983003831
2011-06-01,3.28541234866844,2.4932054526027,12.8240824011547,1.54968790802833,0.292682926829269,-1.56385958182769
2011-07-01,3.29249796473881,2.50552593699074,12.8302279367455,1.58719230348678,-0.748362956033688,-0.60816911972531
2011-08-01,3.27638973106881,2.51930807650533,12.8400163814229,1.60140574073684,2.49768732654949,7.60953523148764
2011-09-01,3.3098128198603,2.47737838336721,12.7993842973223,1.60341984010854,-0.945179584120981,9.41216022218181
2011-10-01,3.33541364111615,2.45958884180371,12.8448760943721,1.63315443905142,-1.29990714948933,4.87981624223151
2011-11-01,3.31745338822919,2.43361335540045,12.8737722660987,1.64093657949347,-2.43445692883895,5.24398053472293
2011-12-01,3.23985423125339,2.3887627892351,12.8790490060193,1.63705307946707,-0.931677018633537,-1.90033772574818
2012-01-01,3.28914787785353,2.37024374146786,12.8151640769261,1.67335123817775,-4.82832618025751,3.64998814238131
2012-02-01,3.31962572796834,2.34180580614733,12.8154375934338,1.69009581545155,-5.8700209643606,0.848717847003178
2012-03-01,3.31127267413417,2.28442112236637,12.8837711067658,1.67147330335355,-4.50191570881227,6.89014233218959
2012-04-01,3.28989331210348,2.2353763433006,12.8546961973006,1.68824909285839,-4.82051282051282,12.8932289861097
2012-05-01,3.22684399451738,2.18267479632149,12.9018979866145,1.70292825552144,-4.29505135387488,11.5292382785686
2012-06-01,3.19540246868256,2.12704052047911,12.8978951991591,1.68639895357023,-4.37743190661478,8.56582219363646
2012-07-01,3.18511219471539,2.08815348228186,12.9369615614794,1.69193913394584,-1.50801131008482,19.7827930649685
2012-08-01,3.15997471694804,2.06051353179432,12.949741585421,1.70474809223843,0.631768953068601,16.6604878420034
2012-09-01,3.15188095604392,2.00012773496011,12.884958363147,1.69561560867515,-1.33587786259541,11.0881261335594
2012-10-01,3.13418901670101,1.97823903617067,12.9560922407029,1.69927861643389,5.17403574788335,-3.71290282440302
